year,git_nodes,git_edges,stack_nodes_hop_1,stack_edges_hop_1,stack_cross_edges_hop_1,stack_nodes_hop_2,stack_edges_hop_2,stack_cross_edges_hop_2,stack_nodes_hop_3,stack_edges_hop_3,stack_cross_edges_hop_3
2008-2009,212,14,415,234,182,669,496,182,13126,12982,182
2008-2010,460,23,955,555,406,1877,1483,406,3700,3368,406
2008-2011,880,78,1705,936,772,3455,2715,772,23715,25082,772
2008-2012,1302,71,2452,1342,1119,5884,4877,1119,28337,29489,1119
2008-2013,1871,348,3392,1859,1539,7603,6182,1539,44317,45567,1539
2008-2014,2206,564,3834,2085,1759,8747,7175,1759,18228,17030,1759
2008-2015,2699,1038,4629,2500,2140,10887,8884,2140,62104,63141,2140
2008-2016,2594,981,4437,2420,2026,12165,10265,2026,22435,20934,2026
2008-2017,2506,949,4290,2351,1951,8995,7179,1951,20666,19214,1951
2008-2018,1907,463,3221,1754,1476,8588,7217,1476,34978,34104,1476
2008-2019,1628,250,2418,1279,1144,4571,3497,1144,7296,6427,1144
2008-2020,1923,872,3086,1628,1464,5414,4017,1464,9780,8574,1464
2008-2021,1012,141,1450,761,691,3198,2544,691,5521,5020,691
2008-2022,766,148,1067,518,551,2431,1914,551,3606,3135,551
2008-2023,42,0,18,11,7,49,44,7,531,548,7
